Reports,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
cardiac silhouette is top normal,1.0,,0.0,,,,,,,,,,,
there are likely small bilateral pleural effusions,,,,,,,,,,,1.0,,,
no pneumothorax is present,1.0,,,,,,,,,0.0,,,,
mediastinal contour with rightward deviation of the trachea secondary to a thyroid goiter is again noted  .,,1.0,,,,,,,,,,,,
again seen is a dual lumen central venous catheter which terminates in the lower svc coursing through a brachiocephalicsvc stent,1.0,,,,,,,,,,,,,1.0
no definite consolidation is identified,1.0,,,,,,0.0,,,,,,,
there is mild pulmonary vascular congestion,,,,,,-1.0,,,,,,,,
cardiac silhouette is top normal,1.0,,0.0,,,,,,,,,,,
there are likely small bilateral pleural effusions,,,,,,,,,,,1.0,,,
no pneumothorax is present,1.0,,,,,,,,,0.0,,,,
mediastinal contour with rightward deviation of the trachea secondary to a thyroid goiter is again noted  .,,1.0,,,,,,,,,,,,
the patient is status post esophagectomy and gastric pull through,1.0,,,,,,,,,,,,,
the lungs are hyperinflated,,,,,,,,,,,,,,
there are new patchy airspace opacities in the bilateral lung bases concerning for aspiration,,,,,1.0,,,,,,,,,
chronic medial right apex pleural thickening and triangular peripheral interstital opacities in the right mid lung field are again seen,,,,,1.0,,,,,,,1.0,,
a hazy opacity consistent with chronic scarring related to radiation treatment is again seen in the medial right upper lobe,,,,,1.0,,,,,,,,,
an 8 mm nodular opacity is again seen within the right lower lobe unchanged from prior exam,,,,1.0,1.0,,,,,,,,,
there is atelectasis at the left lung base,,,,,,,,,1.0,,,,,
a chronic right pleural effusion is again noted,,,,,,,,,,,1.0,,,
there is no left pleural effusion,1.0,,,,,,,,,,0.0,,,
cardiomediastinal silhouette is stable,,-1.0,,,,,,,,,,,,
there is no pneumothorax,1.0,,,,,,,,,0.0,,,,
visualized osseous structures are unremarkable  .,1.0,,,,,,,,,,,,,
the patient is status post esophagectomy and gastric pull through,1.0,,,,,,,,,,,,,
the lungs are hyperinflated,,,,,,,,,,,,,,
there are new patchy airspace opacities in the bilateral lung bases concerning for aspiration,,,,,1.0,,,,,,,,,
chronic medial right apex pleural thickening and triangular peripheral interstital opacities in the right mid lung field are again seen,,,,,1.0,,,,,,,1.0,,
a hazy opacity consistent with chronic scarring related to radiation treatment is again seen in the medial right upper lobe,,,,,1.0,,,,,,,,,
an 8 mm nodular opacity is again seen within the right lower lobe unchanged from prior exam,,,,1.0,1.0,,,,,,,,,
there is atelectasis at the left lung base,,,,,,,,,1.0,,,,,
a chronic right pleural effusion is again noted,,,,,,,,,,,1.0,,,
there is no left pleural effusion,1.0,,,,,,,,,,0.0,,,
cardiomediastinal silhouette is stable,,-1.0,,,,,,,,,,,,
there is no pneumothorax,1.0,,,,,,,,,0.0,,,,
visualized osseous structures are unremarkable  .,1.0,,,,,,,,,,,,,
the lungs are hyperinflated and diaphragms are flattened,,,,,,,,,,,,,,
an ill-defined opacity in the right upper lobe is persists compared to and has changed configuration slightly,,,,,1.0,,,,,,,,,
an 8 mm right lower lobe pulmonary nodule is stable,,,,1.0,,,,,,,,,,
a small right effusion or pleural thickening is unchanged,,,,,,,,,,,-1.0,-1.0,,
there is no pneumothorax,1.0,,,,,,,,,0.0,,,,
cardiac and mediastinal contours are unchanged and the patient is status post esophagectomy and gastric pull-through  .,,1.0,,,,,,,,,,,,
the lungs are hyperinflated and diaphragms are flattened,,,,,,,,,,,,,,
an ill-defined opacity in the right upper lobe is persists compared to and has changed configuration slightly,,,,,1.0,,,,,,,,,
an 8 mm right lower lobe pulmonary nodule is stable,,,,1.0,,,,,,,,,,
a small right effusion or pleural thickening is unchanged,,,,,,,,,,,-1.0,-1.0,,
there is no pneumothorax,1.0,,,,,,,,,0.0,,,,
cardiac and mediastinal contours are unchanged and the patient is status post esophagectomy and gastric pull-through  .,,1.0,,,,,,,,,,,,
as compared to the previous radiograph the pre-existing and pre-described right lower lobe pneumonia has substantially increased in extent and severity,,,,,,,,1.0,,,,,,
there now is a large area of parenchymal consolidation at the right lung bases potentially associated with a small right pleural effusion,,,,,,,1.0,,,,1.0,,,
the size of the cardiac silhouette is minimally enlarged,,,1.0,,,,,,,,,,,
the retrocardiac atelectasis has newly occurred,,,,,,,,,1.0,,,,,
unchanged tortuosity of the thoracic aorta,1.0,,,,,,,,,,,,,
no pneumothorax  .,1.0,,,,,,,,,0.0,,,,
the lungs are clear the cardiomediastinal silhouette and hila are normal,1.0,0.0,,,,,,,,,,,,
a gastric pull up is again seen,1.0,,,,,,,,,,,,,
there is no pleural effusion and no pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
a bony coalition is seen at the posterior and 7th ribs unchanged from the prior study,1.0,,,,,,,,,,,,,
no acute displaced rib fractures are seen,1.0,,,,,,,,,,,,0.0,
rib detail views with pain markers might be considered for further workup  .,1.0,,,,,,,,,,,,,1.0
the lungs are clear the cardiomediastinal silhouette and hila are normal,1.0,0.0,,,,,,,,,,,,
a gastric pull up is again seen,1.0,,,,,,,,,,,,,
there is no pleural effusion and no pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
a bony coalition is seen at the posterior and 7th ribs unchanged from the prior study,1.0,,,,,,,,,,,,,
no acute displaced rib fractures are seen,1.0,,,,,,,,,,,,0.0,
rib detail views with pain markers might be considered for further workup  .,1.0,,,,,,,,,,,,,1.0
since multifocal pneumonia has resolved and there is no new consolidation or other evidence of active intrathoracic infection,,,,,,,-1.0,0.0,,,,,,
persistent blunting of the right posterior pleural sulcus could be due to scarring or a small chronic pleural effusion,,,,,-1.0,,,,,,-1.0,,,
the heart is no longer mildly enlarged and the neo esophagus after esophagectomy is no longer distended,,,1.0,,,,,,,,,,,
mild pulmonary hyperinflation reflects emphysema,,,,,,,,,,,,,,
healed fractures of the posterior right sixth and seventh ribs should not be mistaken for a lung or pleural lesion  .,,,,,,,,,,,,,1.0,
since multifocal pneumonia has resolved and there is no new consolidation or other evidence of active intrathoracic infection,,,,,,,-1.0,0.0,,,,,,
persistent blunting of the right posterior pleural sulcus could be due to scarring or a small chronic pleural effusion,,,,,-1.0,,,,,,-1.0,,,
the heart is no longer mildly enlarged and the neo esophagus after esophagectomy is no longer distended,,,1.0,,,,,,,,,,,
mild pulmonary hyperinflation reflects emphysema,,,,,,,,,,,,,,
healed fractures of the posterior right sixth and seventh ribs should not be mistaken for a lung or pleural lesion  .,,,,,,,,,,,,,1.0,
the patient has had prior esophagectomy with a gastric pull-through,1.0,,,,,,,,,,,,,
a new right lower lobe airspace opacity is likely due to aspiration pneumonia,,,,,1.0,,,1.0,,,,,,
the left lung is clear,1.0,,,,,,,,,,,,,
there is no pneumothorax,1.0,,,,,,,,,0.0,,,,
cardiomediastinal silhouette is stable  .,,-1.0,,,,,,,,,,,,
the patient has had prior esophagectomy with a gastric pull-through,1.0,,,,,,,,,,,,,
a new right lower lobe airspace opacity is likely due to aspiration pneumonia,,,,,1.0,,,1.0,,,,,,
the left lung is clear,1.0,,,,,,,,,,,,,
there is no pneumothorax,1.0,,,,,,,,,0.0,,,,
cardiomediastinal silhouette is stable  .,,-1.0,,,,,,,,,,,,
cardiac silhouette size is normal,1.0,,0.0,,,,,,,,,,,
the mediastinal and hilar contours are unchanged with evidence of prior esophagectomy and gastric pull-through,,-1.0,,,,,,,,,,,,
atherosclerotic calcifications within the aortic arch are re- demonstrated,,,,,,,,,,,,,,
ill-defined patchy opacities are noted involving the right mid and lower lung fields as well as to a lesser extent within the left lung base findings which are suspicious for aspiration pneumonia,,,,,1.0,,,-1.0,,,,,,
blunting of the costophrenic angles posteriorly on the lateral view suggests small bilateral pleural effusions new in the interval,,,,,,,,,,,1.0,,,
no pneumothorax or pulmonary vascular congestion is present,1.0,,,,,0.0,,,,0.0,,,,
there are no acute osseous abnormalities  .,1.0,,,,,,,,,,,,,
cardiac silhouette size is normal,1.0,,0.0,,,,,,,,,,,
the mediastinal and hilar contours are unchanged with evidence of prior esophagectomy and gastric pull-through,,-1.0,,,,,,,,,,,,
atherosclerotic calcifications within the aortic arch are re- demonstrated,,,,,,,,,,,,,,
ill-defined patchy opacities are noted involving the right mid and lower lung fields as well as to a lesser extent within the left lung base findings which are suspicious for aspiration pneumonia,,,,,1.0,,,-1.0,,,,,,
blunting of the costophrenic angles posteriorly on the lateral view suggests small bilateral pleural effusions new in the interval,,,,,,,,,,,1.0,,,
no pneumothorax or pulmonary vascular congestion is present,1.0,,,,,0.0,,,,0.0,,,,
there are no acute osseous abnormalities  .,1.0,,,,,,,,,,,,,
the patient has prior history of gastric pull-through with radiation therapy for esophageal cancer,1.0,,,,,,,,,,,,,
right upper lobe consolidation in posterior segment has slightly improved,,,,,,,1.0,,,,,,,
the lungs are hyperinflated,,,,,,,,,,,,,,
6 mm right lower lobe nodule is unchanged since,,,,1.0,,,,,,,,,,
small right pleural effusion is stable since,,,,,,,,,,,1.0,,,
there is no pneumothorax,1.0,,,,,,,,,0.0,,,,
mediastinal and cardiac contours are normal  .,1.0,0.0,0.0,,,,,,,,,,,
the patient has prior history of gastric pull-through with radiation therapy for esophageal cancer,1.0,,,,,,,,,,,,,
right upper lobe consolidation in posterior segment has slightly improved,,,,,,,1.0,,,,,,,
the lungs are hyperinflated,,,,,,,,,,,,,,
6 mm right lower lobe nodule is unchanged since,,,,1.0,,,,,,,,,,
small right pleural effusion is stable since,,,,,,,,,,,1.0,,,
there is no pneumothorax,1.0,,,,,,,,,0.0,,,,
mediastinal and cardiac contours are normal  .,1.0,0.0,0.0,,,,,,,,,,,
there are new heterogenous parenchymal opacities involving the right upper lobe and right lower lobe compatible with patients recent history of aspiration,,,,,1.0,,,,,,,,,
opacity along the medial aspect of the right apex likely represents post-radiation changes and was noted as far back as the ct torso,,,,,1.0,,,,,,,,,
small right pleural effusion is not significantly changed from prior,,,,,,,,,,,1.0,,,
the left lung is essentially clear,1.0,,,,,,,,,,,,,
no pneumothorax,1.0,,,,,,,,,0.0,,,,
the mediastinum hila and heart are within normal limits  .,1.0,0.0,,,,,,,,,,,,
there are new heterogenous parenchymal opacities involving the right upper lobe and right lower lobe compatible with patients recent history of aspiration,,,,,1.0,,,,,,,,,
opacity along the medial aspect of the right apex likely represents post-radiation changes and was noted as far back as the ct torso,,,,,1.0,,,,,,,,,
small right pleural effusion is not significantly changed from prior,,,,,,,,,,,1.0,,,
the left lung is essentially clear,1.0,,,,,,,,,,,,,
no pneumothorax,1.0,,,,,,,,,0.0,,,,
the mediastinum hila and heart are within normal limits  .,1.0,0.0,,,,,,,,,,,,
there are no new lung opacities,,,,,-1.0,,,,,,,,,
right lower lobe lung nodule measuring 8 mm is stable since the ct scan of,,,,1.0,,,,,,,,,,
biapical post-radiation changes are also chronic,1.0,,,,,,,,,,,,,
mediastinal and cardiac contours are stable,,-1.0,-1.0,,,,,,,,,,,
there is no pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
fusion between the posterior arch of the sixth and seventh right ribs is congenital  .,1.0,,,,,,,,,,,,,
there are no new lung opacities,,,,,-1.0,,,,,,,,,
right lower lobe lung nodule measuring 8 mm is stable since the ct scan of,,,,1.0,,,,,,,,,,
biapical post-radiation changes are also chronic,1.0,,,,,,,,,,,,,
mediastinal and cardiac contours are stable,,-1.0,-1.0,,,,,,,,,,,
there is no pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
fusion between the posterior arch of the sixth and seventh right ribs is congenital  .,1.0,,,,,,,,,,,,,
no significant interval change,1.0,,,,,,,,,,,,,
the lungs remain hyperinflated,,,,,,,,,,,,,,
no focal consolidation edema or pneumothorax,1.0,,,,,0.0,0.0,,,0.0,,,,
bilateral pleural effusions are small,,,,,,,,,,,1.0,,,
the heart is normal in size,1.0,,0.0,,,,,,,,,,,
retrocardiac opacity on the right is consistent with neo esophagus,,,,,1.0,,,,,,,,,
no acute osseous abnormality  .,1.0,,,,,,,,,,,,,
no significant interval change,1.0,,,,,,,,,,,,,
the lungs remain hyperinflated,,,,,,,,,,,,,,
no focal consolidation edema or pneumothorax,1.0,,,,,0.0,0.0,,,0.0,,,,
bilateral pleural effusions are small,,,,,,,,,,,1.0,,,
the heart is normal in size,1.0,,0.0,,,,,,,,,,,
retrocardiac opacity on the right is consistent with neo esophagus,,,,,1.0,,,,,,,,,
no acute osseous abnormality  .,1.0,,,,,,,,,,,,,
pa and lateral views of the chest provided,1.0,,,,,,,,,,,,,
there is mild blunting of the right cp angle which could reflect a tiny effusion or pleural thickening,,,,,,,,,,,-1.0,-1.0,,
the lungs are otherwise clear,1.0,,,,,,,,,,,,,
the cardiomediastinal silhouette is normal,1.0,0.0,,,,,,,,,,,,
imaged osseous structures are intact,1.0,,,,,,,,,,,,,
no free air below the right hemidiaphragm is seen  .,1.0,,,,,,,,,,,,,
pa and lateral views of the chest provided,1.0,,,,,,,,,,,,,
there is mild blunting of the right cp angle which could reflect a tiny effusion or pleural thickening,,,,,,,,,,,-1.0,-1.0,,
the lungs are otherwise clear,1.0,,,,,,,,,,,,,
the cardiomediastinal silhouette is normal,1.0,0.0,,,,,,,,,,,,
imaged osseous structures are intact,1.0,,,,,,,,,,,,,
no free air below the right hemidiaphragm is seen  .,1.0,,,,,,,,,,,,,
a right lower lobe lung nodule measuring 8 mm is stable dating back to ct scan of,,,,1.0,,,,,,,,,,
biapical post-radiation changes are unchanged,1.0,,,,,,,,,,,,,
mediastinal and cardiac contours are stable,,-1.0,-1.0,,,,,,,,,,,
there is no pneumothorax,1.0,,,,,,,,,0.0,,,,
trace right pleural effusion cannot be excluded,,,,,,,,,,,1.0,,,
bony coalition between the posterior arch of the sixth and seventh right ribs is congenital,1.0,,,,,,,,,,,,,
vague opacity within the right middle lung is similar to findings of and may represent recurrent pneumonia  .,,,,,1.0,,,-1.0,,,,,,
a right lower lobe lung nodule measuring 8 mm is stable dating back to ct scan of,,,,1.0,,,,,,,,,,
biapical post-radiation changes are unchanged,1.0,,,,,,,,,,,,,
mediastinal and cardiac contours are stable,,-1.0,-1.0,,,,,,,,,,,
there is no pneumothorax,1.0,,,,,,,,,0.0,,,,
trace right pleural effusion cannot be excluded,,,,,,,,,,,1.0,,,
bony coalition between the posterior arch of the sixth and seventh right ribs is congenital,1.0,,,,,,,,,,,,,
vague opacity within the right middle lung is similar to findings of and may represent recurrent pneumonia  .,,,,,1.0,,,-1.0,,,,,,
frontal and lateral views of the chest were obtained,1.0,,,,,,,,,,,,,
the heart is of normal size with normal cardiomediastinal contours,,0.0,1.0,,,,,,,,,,,
the known gastric pull-through for esophageal cancer is not distended,1.0,,,,,,,,,,,,,
bony coalition between the posterior arch of the sixth and seventh right ribs is congenital,1.0,,,,,,,,,,,,,
there is increased vague opacity in the right mid lung superimposed on the site of bony coalition,,,,,1.0,,,,,,,,,
opacity in this area is increased since but is similar to and may represent recurrent pneumonia,,,,,1.0,,,-1.0,,,,,,
a right lower lobe nodule is similar in size through,,,,1.0,,,,,,,,,,
no pleural effusion or pneumothorax is present,1.0,,,,,,,,,0.0,0.0,,,
the pulmonary vasculature is unremarkable,1.0,,,,,,,,,,,,,
no radiopaque foreign body  .,,,,,,,,,,,,,,
frontal and lateral views of the chest were obtained,1.0,,,,,,,,,,,,,
the heart is of normal size with normal cardiomediastinal contours,,0.0,1.0,,,,,,,,,,,
the known gastric pull-through for esophageal cancer is not distended,1.0,,,,,,,,,,,,,
bony coalition between the posterior arch of the sixth and seventh right ribs is congenital,1.0,,,,,,,,,,,,,
there is increased vague opacity in the right mid lung superimposed on the site of bony coalition,,,,,1.0,,,,,,,,,
opacity in this area is increased since but is similar to and may represent recurrent pneumonia,,,,,1.0,,,-1.0,,,,,,
a right lower lobe nodule is similar in size through,,,,1.0,,,,,,,,,,
no pleural effusion or pneumothorax is present,1.0,,,,,,,,,0.0,0.0,,,
the pulmonary vasculature is unremarkable,1.0,,,,,,,,,,,,,
no radiopaque foreign body  .,,,,,,,,,,,,,,
the lungs are hyperinflated but clear of consolidation,,,,,,,1.0,,,,,,,
linear opacity in the right mid to upper lung is compatible with scarring as well as changes of the posterior right ribs which are chronic,,,,,1.0,,,,,,,,,
blunting of the right lateral posterior costophrenic angle is chronic potentially due to scarring or trace effusion,,,,,-1.0,,,,,,-1.0,,,
blunting of the left posterior costophrenic angle suggests small pleural effusion,,,,,,,,,,,1.0,,,
cardiomediastinal silhouette is within normal limits,1.0,0.0,,,,,,,,,,,,
prominent retrocardiac opacity on the right is compatible with a neo esophagus,,,,,1.0,,,,,,,,,
no acute osseous abnormalities  .,1.0,,,,,,,,,,,,,
the lungs are hyperinflated but clear of consolidation,,,,,,,1.0,,,,,,,
linear opacity in the right mid to upper lung is compatible with scarring as well as changes of the posterior right ribs which are chronic,,,,,1.0,,,,,,,,,
blunting of the right lateral posterior costophrenic angle is chronic potentially due to scarring or trace effusion,,,,,-1.0,,,,,,-1.0,,,
blunting of the left posterior costophrenic angle suggests small pleural effusion,,,,,,,,,,,1.0,,,
cardiomediastinal silhouette is within normal limits,1.0,0.0,,,,,,,,,,,,
prominent retrocardiac opacity on the right is compatible with a neo esophagus,,,,,1.0,,,,,,,,,
no acute osseous abnormalities  .,1.0,,,,,,,,,,,,,
frontal and lateral views of the chest were obtained,1.0,,,,,,,,,,,,,
again seen is right-sided volume loss with right pleural scarring seen particularly at the right lung apex,,,,,,,,,,,,1.0,,
patient is status post esophagectomy and again presumably radiation to the midline in the upper chest,1.0,,,,,,,,,,,,,
fullness along the right cardiac border slightly more prominent as compared to the prior study likely relates to patients gastric pull-through as seen on ct,,,,,,,,,,,,,,
no definite new focal consolidation is seen,,,,,,,-1.0,,,,,,,
there is no new pleural effusion or pneumothorax,,,,,,,,,,-1.0,-1.0,,,
calcified hilar and mediastinal lymph nodes again seen  .,,,,,,,,,,,,,,
frontal and lateral views of the chest were obtained,1.0,,,,,,,,,,,,,
again seen is right-sided volume loss with right pleural scarring seen particularly at the right lung apex,,,,,,,,,,,,1.0,,
patient is status post esophagectomy and again presumably radiation to the midline in the upper chest,1.0,,,,,,,,,,,,,
fullness along the right cardiac border slightly more prominent as compared to the prior study likely relates to patients gastric pull-through as seen on ct,,,,,,,,,,,,,,
no definite new focal consolidation is seen,,,,,,,-1.0,,,,,,,
there is no new pleural effusion or pneumothorax,,,,,,,,,,-1.0,-1.0,,,
calcified hilar and mediastinal lymph nodes again seen  .,,,,,,,,,,,,,,
previously reported right lower lobe pneumonia has nearly resolved with only mild residual peribronchiolar opacification remaining in the right infrahilar area,,,,,1.0,,,0.0,,,,,,
a small right pleural effusion has nearly resolved,1.0,,,,,,,,,,0.0,,,
localized bronchiectasis and scarring in the right upper lobe is similar to older studies,,,,,1.0,,,,,,,,,
a small nodule at the right lung base is similar to previous ct of,,,,1.0,,,,,,,,,,
postoperative changes in the chest are similar including post radiation alterations and findings related to previous esophagectomy and pull-up procedure  .,1.0,,,,,,,,,,,,,
previously reported right lower lobe pneumonia has nearly resolved with only mild residual peribronchiolar opacification remaining in the right infrahilar area,,,,,1.0,,,0.0,,,,,,
a small right pleural effusion has nearly resolved,1.0,,,,,,,,,,0.0,,,
localized bronchiectasis and scarring in the right upper lobe is similar to older studies,,,,,1.0,,,,,,,,,
a small nodule at the right lung base is similar to previous ct of,,,,1.0,,,,,,,,,,
postoperative changes in the chest are similar including post radiation alterations and findings related to previous esophagectomy and pull-up procedure  .,1.0,,,,,,,,,,,,,
the patient is status of previous radiation therapy in the right lung with associated geographically marginated radiation fibrosis in the right paramediastinal and hilar regions with associated volume loss in the right lung,,,,,,,,,,,,1.0,,
pleural thickening at the right apex and right costophrenic angle also appear stable,,,,,,,,,,,,1.0,,
heterogeneous lung opacities in the right lung on the radiograph have resolved,1.0,,,,0.0,,,,,,,,,
no new areas of consolidation are identified,,,,,,,-1.0,,,,,,,
a sub cm nodular opacity is seen in the periphery of the right lower lung and appears unchanged from radiograph corresponding to a subpleural nodule on ct of  .,,,,1.0,1.0,,,,,,,,,
the patient is status of previous radiation therapy in the right lung with associated geographically marginated radiation fibrosis in the right paramediastinal and hilar regions with associated volume loss in the right lung,,,,,,,,,,,,1.0,,
pleural thickening at the right apex and right costophrenic angle also appear stable,,,,,,,,,,,,1.0,,
heterogeneous lung opacities in the right lung on the radiograph have resolved,1.0,,,,0.0,,,,,,,,,
no new areas of consolidation are identified,,,,,,,-1.0,,,,,,,
a sub cm nodular opacity is seen in the periphery of the right lower lung and appears unchanged from radiograph corresponding to a subpleural nodule on ct of  .,,,,1.0,1.0,,,,,,,,,
pa and lateral views of the chest interstitial opacities within the right upper lobe are thought to represent recurrent pneumonia,,,,,1.0,,,1.0,,,,,,
pneumonia was noted in this area on but had essentially cleared on,,,,,,,,1.0,,,,,,
the right lower lobe nodule is unchanged in size through,,,,1.0,,,,,,,,,,
there is no pneumothorax,1.0,,,,,,,,,0.0,,,,
a small right pleural effusion and right apical scarring persists,,,,,1.0,,,,,,1.0,,,
the neo esophagus is not distended,1.0,,,,,,,,,,,,,
the mediastinal silhouette is normal in contour  .,1.0,0.0,,,,,,,,,,,,
pa and lateral views of the chest interstitial opacities within the right upper lobe are thought to represent recurrent pneumonia,,,,,1.0,,,1.0,,,,,,
pneumonia was noted in this area on but had essentially cleared on,,,,,,,,1.0,,,,,,
the right lower lobe nodule is unchanged in size through,,,,1.0,,,,,,,,,,
there is no pneumothorax,1.0,,,,,,,,,0.0,,,,
a small right pleural effusion and right apical scarring persists,,,,,1.0,,,,,,1.0,,,
the neo esophagus is not distended,1.0,,,,,,,,,,,,,
the mediastinal silhouette is normal in contour  .,1.0,0.0,,,,,,,,,,,,
pa and lateral chest radiograph is compared to prior study dated,1.0,,,,,,,,,,,,,
there has been little interval change with no focal consolidation concerning for pneumonia identified,,,,,,,0.0,-1.0,,,,,,
lungs are hyperinflated,,,,,,,,,,,,,,
patient is status post radiation therapy to the right lung,1.0,,,,,,,,,,,,,
previously seen right lower lung sub cm nodular opacity is not definitely visualized,,,,-1.0,-1.0,,,,,,,,,
cardiomediastinal contours are stable,,-1.0,,,,,,,,,,,,
there is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
visualized osseous structures demonstrates no acute abnormality  .,1.0,,,,,,,,,,,,,
pa and lateral chest radiograph is compared to prior study dated,1.0,,,,,,,,,,,,,
there has been little interval change with no focal consolidation concerning for pneumonia identified,,,,,,,0.0,-1.0,,,,,,
lungs are hyperinflated,,,,,,,,,,,,,,
patient is status post radiation therapy to the right lung,1.0,,,,,,,,,,,,,
previously seen right lower lung sub cm nodular opacity is not definitely visualized,,,,-1.0,-1.0,,,,,,,,,
cardiomediastinal contours are stable,,-1.0,,,,,,,,,,,,
there is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
visualized osseous structures demonstrates no acute abnormality  .,1.0,,,,,,,,,,,,,
single portable view of the chest,1.0,,,,,,,,,,,,,
there is increased opacity in the right lung particularly projecting over the base,,,,,1.0,,,,,,,,,
right lung base nodule is less well seen on the current exam potentially projectional and adequate comparison for interval change is not possible on this exam,,,,1.0,,,,,,,,,,
post-radiation changes are again seen in the right paratracheal region,1.0,,,,,,,,,,,,,
there is also subtle opacity at the left lung base in the retrocardiac region,,,,,1.0,,,,,,,,,
cardiomediastinal silhouette is stable,,-1.0,,,,,,,,,,,,
no acute osseous abnormalities identified,1.0,,,,,,,,,,,,,
bridging of the posterior right and 7th ribs are again seen  .,1.0,,,,,,,,,,,,,
cardiac mediastinal and hilar contours are stable,,-1.0,,,,,,,,,,,,
the patient is status post esophagectomy and gastric pull-through,1.0,,,,,,,,,,,,,
chronic scarring within the medial aspect of the right upper lobe is compatible with post radiation changes,,,,,1.0,,,,,,,,,
tenting of the right hemidiaphragm is compatible chronic volume loss in the right lung,,,,,,,,,,,,,,
worsening opacification within the right upper lobe is concerning for recurrent pneumonia or aspiration,,,,,1.0,,,-1.0,,,,,,
8 mm nodular opacity within the right lower lobe is unchanged,,,,1.0,1.0,,,,,,,,,
the left lung is clear,1.0,,,,,,,,,,,,,
blunting of the right costophrenic angle is chronic and likely reflects a chronic small pleural effusion,,,,,,,,,,,1.0,,,
no pneumothorax,1.0,,,,,,,,,0.0,,,,
no acute osseous abnormalities demonstrated  .,1.0,,,,,,,,,,,,,
cardiac mediastinal and hilar contours are stable,,-1.0,,,,,,,,,,,,
the patient is status post esophagectomy and gastric pull-through,1.0,,,,,,,,,,,,,
chronic scarring within the medial aspect of the right upper lobe is compatible with post radiation changes,,,,,1.0,,,,,,,,,
tenting of the right hemidiaphragm is compatible chronic volume loss in the right lung,,,,,,,,,,,,,,
worsening opacification within the right upper lobe is concerning for recurrent pneumonia or aspiration,,,,,1.0,,,-1.0,,,,,,
8 mm nodular opacity within the right lower lobe is unchanged,,,,1.0,1.0,,,,,,,,,
the left lung is clear,1.0,,,,,,,,,,,,,
blunting of the right costophrenic angle is chronic and likely reflects a chronic small pleural effusion,,,,,,,,,,,1.0,,,
no pneumothorax,1.0,,,,,,,,,0.0,,,,
no acute osseous abnormalities demonstrated  .,1.0,,,,,,,,,,,,,
frontal and lateral views of the chest were obtained,1.0,,,,,,,,,,,,,
there are relatively low lung volumes,1.0,,,,,,,,,,,,,
mild elevation of the right hemidiaphragm persists,,,,,,,,,,,,,,
there is persistent right base atelectasis,,,,,,,,,1.0,,,,,
no new focal consolidation is seen,,,,,,,-1.0,,,,,,,
there is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
the cardiac and mediastinal silhouettes are unremarkable  .,1.0,0.0,,,,,,,,,,,,
frontal and lateral views of the chest were obtained,1.0,,,,,,,,,,,,,
there are relatively low lung volumes,1.0,,,,,,,,,,,,,
mild elevation of the right hemidiaphragm persists,,,,,,,,,,,,,,
there is persistent right base atelectasis,,,,,,,,,1.0,,,,,
no new focal consolidation is seen,,,,,,,-1.0,,,,,,,
there is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
the cardiac and mediastinal silhouettes are unremarkable  .,1.0,0.0,,,,,,,,,,,,
there are increased pulmonary vascular markings and redistribution,1.0,,,,,,,,,,,,,
prominent azygos vein is also noted,,,,,,,,,,,,,,
there is mild cardiomegaly unchanged,,,1.0,,,,,,,,,,,
no focal consolidation pleural effusion or pneumothorax is seen,1.0,,,,,,0.0,,,0.0,0.0,,,
the ng tube courses through the esophagus and terminates outside the field of view  .,1.0,,,,,,,,,,,,,1.0
no focal consolidation is seen there is no pleural effusion or pneumothorax,1.0,,,,,,0.0,,,0.0,0.0,,,
the cardiac and mediastinal silhouettes are unremarkable  .,1.0,0.0,,,,,,,,,,,,
no focal consolidation is seen there is no pleural effusion or pneumothorax,1.0,,,,,,0.0,,,0.0,0.0,,,
the cardiac and mediastinal silhouettes are unremarkable  .,1.0,0.0,,,,,,,,,,,,
in comparison with study of the patient has taken a better inspiration,1.0,,,,,,,,,,,,,
the heart is normal in size and there is no vascular congestion pleural effusion or acute focal pneumonia  .,,,0.0,,,0.0,,0.0,,,1.0,,,
in comparison with study of the patient has taken a better inspiration,1.0,,,,,,,,,,,,,
the heart is normal in size and there is no vascular congestion pleural effusion or acute focal pneumonia  .,,,0.0,,,0.0,,0.0,,,1.0,,,
as compared to the previous radiograph there is no relevant change,1.0,,,,,,,,,,,,,
no evidence of focal parenchymal opacities indicative of pneumonia,,,,,0.0,,,1.0,,,,,,
the orogastric tube has been removed,1.0,,,,,,,,,,,,,0.0
unchanged borderline size of the cardiac silhouette without pulmonary edema,,,1.0,,,0.0,,,,,,,,
the lateral radiograph reveals a minimal pleural effusion bilaterally restricted to the dorsal parts of the costophrenic sinus  .,,,,,,,,,,,1.0,,,
